atomicnumber;group;period;symbol;elementname;groupname;color;url;excerpt
111;11;7;Rg;Roengenium\n282;Unsupervised\nSignaling;#74c476;https://www.innerdoc.com/periodic-table-of-nlp-tasks/57-outlier-detection;Finding text that is exceptionally far from the mainstream text.

30;12;4;Zn;Seng\n65.380;Similarity;#a1d99b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/59-distance-measures;Measuring the syntax similarity or semantic word similarity by a specific distance calculation.
48;12;5;Cd;Kadmium\n112.41;Similarity;#a1d99b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/60-document-similarity;Estimating the degree of similarity between the semantic representation of two documents.
80;12;6;Hg;Raksa\n200.59;Similarity;#a1d99b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/61-distributed-word-representations;Multi-dimensional meaning representations of a word are reduced to a level of N dimensions, so the vectors can be used for similarity measures.
112;12;7;Cn;Kopernisium\n285\nRepresentations;Similarity;#a1d99b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/62-contextualized-word-representations;Word Representations with the ability to incorporate context.
5;13;2;B;Boron\n10.811;Natural Language\nGeneration;#a1d99b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/63-next-token-prediction;Predicting the next word that is appropriate in the context.
13;13;3;Al;Alumunium\n26.982;Natural Language\nGeneration;#a1d99b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/64-report-writing;Writing sentences based on structured data is also called Data-to-Text Generation. 
31;13;4;Ga;Galium\n69.723;Natural Language\nGeneration;#a1d99b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/65-machine-translation;Translation by machines to perfectly transform text into another language.
49;13;5;In;Indium\n114.82;Natural Language\nGeneration;#a1d99b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/66-abstractive-summarization;Abstractive summarization systems generate new phrases that express a text by using as few words as possible.
81;13;6;Ti;Talium\n204.38;Natural Language\nGeneration;#a1d99b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/67-paraphrasing;Expressing the meaning of a source text into a new text by using different words and maintaining the semantic meaning. 
113;13;7;Nh;Nihonium\n286;Natural Language\nGeneration;#a1d99b;https://www.innerdoc.com/periodic-table-of-nlp-tasks/68-long-text-generation;Generating long sequences of words, based on long sequences of words with appropriate performance.
6;14;2;C;Karbon\n12.011;Systems;#c7e9c0;https://www.innerdoc.com/periodic-table-of-nlp-tasks/69-relation-extraction;Extracting semantic relationships from a text, to make a connection between entities.
144;14;3;Si;Silikon\n28.086;Systems;#c7e9c0;https://www.innerdoc.com/periodic-table-of-nlp-tasks/70-question-answering;Answering questions posed by humans in a natural language, regardless of the format of the question. 
32;14;4;Ge;Germanium\nD78.960;Systems;#c7e9c0;https://www.innerdoc.com/periodic-table-of-nlp-tasks/71-chatbot-dialogue;Programming a natural and convincing chatbot dialogue for the personas of your customers, to meet your customers’ needs.
50;14;5;Sn;Timah\n118.71\nIndexing;Systems;#c7e9c0;https://www.innerdoc.com/periodic-table-of-nlp-tasks/72-semantic-search-indexing;Increasing search accuracy by adding semantic information about a piece of text to the index, in addition to keyword search.
82;14;6;Pb;Timbal\n207.20;Systems;#c7e9c0;https://www.innerdoc.com/periodic-table-of-nlp-tasks/73-knowledge-base-population;Discovering facts about entities (NER, NEL) and building a knowledge base with it.
114;14;7;Fl;Flerovium\n289;Systems;#c7e9c0;https://www.innerdoc.com/periodic-table-of-nlp-tasks/74-e-discovery-and-media-monitoring;Large scale content analysis for identifying, collecting and producing information to support investigations and understand the voice of the author.

7;15;2;N;Nitrogen\n14.007;Information\nVisualization;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/76-annotated-text-visualization;Printing text, but prettier. Text is not only characters, but also meta-info.
15;15;3;P;Fosforus\n30.974;Information\nVisualization;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/77-wordcloud;Most Wordclouds seem to ignore best practices for visualizing information.
33;15;4;As;Arsen\n74.922;Information\nVisualization;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/78-word-embedding-visualization;Visualizing Word Embeddings is often done to inspect the embedding and experience the cohesiveness of a subset of the embedding.
51;15;5;Sb;Antimon\n121.76;Information\nVisualization;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/79-events-on-timeline;Increasing insight into text by plotting events chronological on a timeline.
83;15;6;Bi;Bismuth\n208.98;Information\nVisualization;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/80-locations-on-geomap;Plotting geocoded Named Entities on a map.
115;15;7;Mc;Moskovium\n289\nVisualization;Information\nVisualization;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/81-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
8;16;2;O;Oksigen\n15.999;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/82-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
16;16;3;S;Belerang\n32.065;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/83-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
34;16;4;Se;Selenium\n78.960;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/84-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
52;16;5;Te;Telurium\n127.60;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/85-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
84;16;6;Po;Polonium\n209;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/86-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
116;16;7;Lv;Livermorium\n293;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/87-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
9;17;2;F;Fluorin\n18.998;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/88-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
17;17;3;Cl;Klorin\n35.453;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/89-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
35;17;4;Br;Bromin\n79.904;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/90-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
53;17;5;I;Iodin\n126.90;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/91-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
85;17;6;At;Astatin\n210;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/92-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
117;17;7;Ts;Tenesin\n294;Information;#bcbddc;https://www.innerdoc.com/periodic-table-of-nlp-tasks/93-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
2;18;1;H;Helium\n4.0026;Information;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/94-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
10;18;2;Ne;Neon\n420.780;Information;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/95-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
18;18;3;Ar;Argon\n39.948;Information;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/96-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
36;18;4;Kr;Kripton\n83.798;Information;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/97-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
54;18;5;Xe;Xenon\n131.29;Information;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/98-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
86;18;6;Rn;Radon\n222;Information;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/99-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
118;18;7;Og;Oganeson\n294;Information;#fdd0a2;https://www.innerdoc.com/periodic-table-of-nlp-tasks/100-knowledge-graph-visualization;Visualizing a network of interlinked descriptions of entities.
